timestamp,git_sha,engine,query,run,seconds,note
2026-05-01T15:15:23,1d02181,df,q3_topk,1,3.829,parquet-io crate + page-index fix
2026-05-01T15:15:23,1d02181,duck,q3_topk,1,0.659,parquet-io crate + page-index fix
2026-05-01T15:15:23,1d02181,df,q3_topk,2,3.766,parquet-io crate + page-index fix
2026-05-01T15:15:23,1d02181,duck,q3_topk,2,0.734,parquet-io crate + page-index fix
2026-05-01T15:25:52,1d02181,df,q1_count,1,1.558,parquet-io crate + page-index + planning-time metadata cache
2026-05-01T15:25:52,1d02181,duck,q1_count,1,0.429,parquet-io crate + page-index + planning-time metadata cache
2026-05-01T15:25:52,1d02181,df,q1_count,2,1.549,parquet-io crate + page-index + planning-time metadata cache
2026-05-01T15:25:52,1d02181,duck,q1_count,2,0.508,parquet-io crate + page-index + planning-time metadata cache
2026-05-01T15:25:52,1d02181,df,q2_agg,1,3.462,parquet-io crate + page-index + planning-time metadata cache
2026-05-01T15:25:52,1d02181,duck,q2_agg,1,0.427,parquet-io crate + page-index + planning-time metadata cache
2026-05-01T15:25:52,1d02181,df,q2_agg,2,3.166,parquet-io crate + page-index + planning-time metadata cache
2026-05-01T15:25:52,1d02181,duck,q2_agg,2,0.548,parquet-io crate + page-index + planning-time metadata cache
2026-05-01T15:25:52,1d02181,df,q3_topk,1,3.210,parquet-io crate + page-index + planning-time metadata cache
2026-05-01T15:25:52,1d02181,duck,q3_topk,1,0.455,parquet-io crate + page-index + planning-time metadata cache
2026-05-01T15:25:52,1d02181,df,q3_topk,2,2.953,parquet-io crate + page-index + planning-time metadata cache
2026-05-01T15:25:52,1d02181,duck,q3_topk,2,0.661,parquet-io crate + page-index + planning-time metadata cache
2026-05-02T00:24:57,63e1de6,df,q1_count,1,1.560,
2026-05-02T00:24:57,63e1de6,duck,q1_count,1,0.496,
2026-05-02T00:24:57,63e1de6,df,q2_agg,1,2.238,
2026-05-02T00:24:57,63e1de6,duck,q2_agg,1,0.569,
2026-05-02T00:24:57,63e1de6,df,q3_topk,1,3.568,
2026-05-02T00:24:57,63e1de6,duck,q3_topk,1,0.597,
2026-05-02T00:29:15,63e1de6,df,q1_count,1,1.519,post-morsel: parallel pipeline drive + projection pushdown + morsel-driven decode
2026-05-02T00:29:15,63e1de6,duck,q1_count,1,0.495,post-morsel: parallel pipeline drive + projection pushdown + morsel-driven decode
2026-05-02T00:29:15,63e1de6,df,q1_count,2,1.534,post-morsel: parallel pipeline drive + projection pushdown + morsel-driven decode
2026-05-02T00:29:15,63e1de6,duck,q1_count,2,0.416,post-morsel: parallel pipeline drive + projection pushdown + morsel-driven decode
2026-05-02T00:29:15,63e1de6,df,q1_count,3,1.523,post-morsel: parallel pipeline drive + projection pushdown + morsel-driven decode
2026-05-02T00:29:15,63e1de6,duck,q1_count,3,0.470,post-morsel: parallel pipeline drive + projection pushdown + morsel-driven decode
2026-05-02T00:29:15,63e1de6,df,q2_agg,1,2.246,post-morsel: parallel pipeline drive + projection pushdown + morsel-driven decode
2026-05-02T00:29:15,63e1de6,duck,q2_agg,1,0.516,post-morsel: parallel pipeline drive + projection pushdown + morsel-driven decode
2026-05-02T00:29:15,63e1de6,df,q2_agg,2,1.828,post-morsel: parallel pipeline drive + projection pushdown + morsel-driven decode
2026-05-02T00:29:15,63e1de6,duck,q2_agg,2,0.454,post-morsel: parallel pipeline drive + projection pushdown + morsel-driven decode
2026-05-02T00:29:15,63e1de6,df,q2_agg,3,2.321,post-morsel: parallel pipeline drive + projection pushdown + morsel-driven decode
2026-05-02T00:29:15,63e1de6,duck,q2_agg,3,0.502,post-morsel: parallel pipeline drive + projection pushdown + morsel-driven decode
2026-05-02T00:29:15,63e1de6,df,q3_topk,1,2.401,post-morsel: parallel pipeline drive + projection pushdown + morsel-driven decode
2026-05-02T00:29:15,63e1de6,duck,q3_topk,1,0.423,post-morsel: parallel pipeline drive + projection pushdown + morsel-driven decode
2026-05-02T00:29:15,63e1de6,df,q3_topk,2,3.581,post-morsel: parallel pipeline drive + projection pushdown + morsel-driven decode
2026-05-02T00:29:15,63e1de6,duck,q3_topk,2,0.582,post-morsel: parallel pipeline drive + projection pushdown + morsel-driven decode
2026-05-02T00:29:15,63e1de6,df,q3_topk,3,32.207,post-morsel: parallel pipeline drive + projection pushdown + morsel-driven decode
2026-05-02T00:29:15,63e1de6,duck,q3_topk,3,0.605,post-morsel: parallel pipeline drive + projection pushdown + morsel-driven decode
2026-05-02T01:47:26,63e1de6,df,q1_count,1,1.304,post user tweaks (follow-up to morsel run)
2026-05-02T01:47:26,63e1de6,duck,q1_count,1,0.285,post user tweaks (follow-up to morsel run)
2026-05-02T01:47:26,63e1de6,df,q1_count,2,1.321,post user tweaks (follow-up to morsel run)
2026-05-02T01:47:26,63e1de6,duck,q1_count,2,0.389,post user tweaks (follow-up to morsel run)
2026-05-02T01:47:26,63e1de6,df,q1_count,3,1.436,post user tweaks (follow-up to morsel run)
2026-05-02T01:47:26,63e1de6,duck,q1_count,3,0.424,post user tweaks (follow-up to morsel run)
2026-05-02T01:47:26,63e1de6,df,q2_agg,1,1.462,post user tweaks (follow-up to morsel run)
2026-05-02T01:47:26,63e1de6,duck,q2_agg,1,0.442,post user tweaks (follow-up to morsel run)
2026-05-02T01:47:26,63e1de6,df,q2_agg,2,1.574,post user tweaks (follow-up to morsel run)
2026-05-02T01:47:26,63e1de6,duck,q2_agg,2,0.428,post user tweaks (follow-up to morsel run)
2026-05-02T01:47:26,63e1de6,df,q2_agg,3,1.437,post user tweaks (follow-up to morsel run)
2026-05-02T01:47:26,63e1de6,duck,q2_agg,3,0.412,post user tweaks (follow-up to morsel run)
2026-05-02T01:47:26,63e1de6,df,q3_topk,1,1.791,post user tweaks (follow-up to morsel run)
2026-05-02T01:47:26,63e1de6,duck,q3_topk,1,0.503,post user tweaks (follow-up to morsel run)
2026-05-02T01:47:26,63e1de6,df,q3_topk,2,1.853,post user tweaks (follow-up to morsel run)
2026-05-02T01:47:26,63e1de6,duck,q3_topk,2,0.541,post user tweaks (follow-up to morsel run)
2026-05-02T01:47:26,63e1de6,df,q3_topk,3,1.889,post user tweaks (follow-up to morsel run)
2026-05-02T01:47:26,63e1de6,duck,q3_topk,3,0.515,post user tweaks (follow-up to morsel run)
2026-05-02T02:54:03,63e1de6,df,q1_count,1,1.546,post user tweaks - confirmation run
2026-05-02T02:54:03,63e1de6,duck,q1_count,1,0.437,post user tweaks - confirmation run
2026-05-02T02:54:03,63e1de6,df,q1_count,2,1.466,post user tweaks - confirmation run
2026-05-02T02:54:03,63e1de6,duck,q1_count,2,0.471,post user tweaks - confirmation run
2026-05-02T02:54:03,63e1de6,df,q1_count,3,1.576,post user tweaks - confirmation run
2026-05-02T02:54:03,63e1de6,duck,q1_count,3,0.319,post user tweaks - confirmation run
2026-05-02T02:54:03,63e1de6,df,q2_agg,1,1.406,post user tweaks - confirmation run
2026-05-02T02:54:03,63e1de6,duck,q2_agg,1,0.424,post user tweaks - confirmation run
2026-05-02T02:54:03,63e1de6,df,q2_agg,2,1.577,post user tweaks - confirmation run
2026-05-02T02:54:03,63e1de6,duck,q2_agg,2,0.506,post user tweaks - confirmation run
2026-05-02T02:54:03,63e1de6,df,q2_agg,3,1.603,post user tweaks - confirmation run
2026-05-02T02:54:03,63e1de6,duck,q2_agg,3,0.557,post user tweaks - confirmation run
2026-05-02T02:54:03,63e1de6,df,q3_topk,1,1.773,post user tweaks - confirmation run
2026-05-02T02:54:03,63e1de6,duck,q3_topk,1,0.530,post user tweaks - confirmation run
2026-05-02T02:54:03,63e1de6,df,q3_topk,2,1.823,post user tweaks - confirmation run
2026-05-02T02:54:03,63e1de6,duck,q3_topk,2,0.601,post user tweaks - confirmation run
2026-05-02T02:54:03,63e1de6,df,q3_topk,3,2.063,post user tweaks - confirmation run
2026-05-02T02:54:03,63e1de6,duck,q3_topk,3,0.574,post user tweaks - confirmation run
2026-05-02T11:33:01,df4a3a6,df,q1_count,1,1.543,
2026-05-02T11:33:01,df4a3a6,duck,q1_count,1,0.490,
2026-05-02T11:33:01,df4a3a6,df,q2_agg,1,1.743,
2026-05-02T11:33:01,df4a3a6,duck,q2_agg,1,0.600,
2026-05-02T11:33:01,df4a3a6,df,q3_topk,1,2.019,
2026-05-02T11:33:01,df4a3a6,duck,q3_topk,1,0.690,
2026-05-02T11:40:10,df4a3a6,df,q1_count,1,1.581,3-run variance
2026-05-02T11:40:10,df4a3a6,duck,q1_count,1,0.498,3-run variance
2026-05-02T11:40:10,df4a3a6,df,q1_count,2,1.598,3-run variance
2026-05-02T11:40:10,df4a3a6,duck,q1_count,2,0.498,3-run variance
2026-05-02T11:40:10,df4a3a6,df,q1_count,3,1.600,3-run variance
2026-05-02T11:40:10,df4a3a6,duck,q1_count,3,0.488,3-run variance
2026-05-02T11:40:10,df4a3a6,df,q2_agg,1,1.796,3-run variance
2026-05-02T11:40:10,df4a3a6,duck,q2_agg,1,0.521,3-run variance
2026-05-02T11:40:10,df4a3a6,df,q2_agg,2,1.812,3-run variance
2026-05-02T11:40:10,df4a3a6,duck,q2_agg,2,0.584,3-run variance
2026-05-02T11:40:10,df4a3a6,df,q2_agg,3,1.718,3-run variance
2026-05-02T11:40:10,df4a3a6,duck,q2_agg,3,0.613,3-run variance
2026-05-02T11:40:10,df4a3a6,df,q3_topk,1,2.116,3-run variance
2026-05-02T11:40:10,df4a3a6,duck,q3_topk,1,0.670,3-run variance
2026-05-02T11:40:10,df4a3a6,df,q3_topk,2,1.994,3-run variance
2026-05-02T11:40:10,df4a3a6,duck,q3_topk,2,0.651,3-run variance
2026-05-02T11:40:10,df4a3a6,df,q3_topk,3,2.174,3-run variance
2026-05-02T11:40:10,df4a3a6,duck,q3_topk,3,0.556,3-run variance
